Metric,Score
Topic Coherence,0.536511196667575
Topic Diversity,0.7368421052631579
Silhouette Score,0.16277539989248083
Davies-Bouldin Index,1.4085747812252845
Calinski-Harabasz Index,2182.9049454659366
Perplexity,2.286397977680735
