Metric,Score
Topic Coherence,0.6604091414151912
Topic Diversity,0.8846153846153846
Silhouette Score,0.2931651689020303
Davies-Bouldin Index,1.137021973962347
Calinski-Harabasz Index,4298.164103622831
Perplexity,810531.4750530513
